blocks,tokens,heads,block_size,head_dim,run_length,num_runs,trial,memory_layout,traversal,median_ms,gib_per_second,gflops,useful_flops_per_kv_byte,checksum,max_abs_error
128,2048,16,16,64,4,32,3,BNHD,BNHD,1.217084,12.83806212,6.89238212,0.5,-0.8040224478,0
128,2048,16,16,64,4,32,4,BHND,BHND,1.222292,12.7833611,6.86301473,0.5,-0.8040224303,0
128,2048,16,16,64,4,32,4,HBND,HBND,1.291,12.10302091,6.497759876,0.5,-0.8040224303,0
128,2048,16,16,64,4,32,4,BNHD,BNHD,1.155458,13.52277625,7.259985218,0.5,-0.8040224303,0
128,2048,16,16,64,2,64,0,BHND,BHND,1.158708,13.48484692,7.239622062,0.5,-0.8040229853,0
128,2048,16,16,64,2,64,0,HBND,HBND,1.314708,11.88476833,6.380586412,0.5,-0.8040229853,0
128,2048,16,16,64,2,64,0,BNHD,BNHD,1.166042,13.4000319,7.194087348,0.5,-0.8040229853,0
128,2048,16,16,64,2,64,1,BHND,BHND,1.308625,11.94001337,6.410245869,0.5,-0.8040227325,0
128,2048,16,16,64,2,64,1,HBND,HBND,1.350125,11.5730025,6.213208407,0.5,-0.8040227325,0
128,2048,16,16,64,2,64,1,BNHD,BNHD,1.191041,13.11877593,7.043089197,0.5,-0.8040227325,0
128,2048,16,16,64,2,64,2,BHND,BHND,1.222959,12.77638907,6.859271652,0.5,-0.8040228102,0
128,2048,16,16,64,2,64,2,HBND,HBND,1.310667,11.92141101,6.4002588,0.5,-0.8040228102,0
128,2048,16,16,64,2,64,2,BNHD,BNHD,1.221125,12.79557785,6.869573549,0.5,-0.8040228102,0
128,2048,16,16,64,2,64,3,BHND,BHND,1.216291,12.84643231,6.89687583,0.5,-0.8040221956,0
128,2048,16,16,64,2,64,3,HBND,HBND,1.330458,11.7440761,6.305052846,0.5,-0.8040221956,0
128,2048,16,16,64,2,64,3,BNHD,BNHD,1.215834,12.85126095,6.899468184,0.5,-0.8040221956,0
128,2048,16,16,64,2,64,4,BHND,BHND,1.213792,12.87288102,6.911075374,0.5,-0.8040225436,0
128,2048,16,16,64,2,64,4,HBND,HBND,1.370541,11.4006075,6.120654544,0.5,-0.8040225436,0
128,2048,16,16,64,2,64,4,BNHD,BNHD,1.220166,12.80563464,6.87497275,0.5,-0.8040225436,0
128,2048,16,16,64,1,128,0,BHND,BHND,1.22475,12.75770565,6.84924107,0.5,-0.804022461,0
128,2048,16,16,64,1,128,0,HBND,HBND,1.435166,10.88724231,5.845043709,0.5,-0.804022461,0
128,2048,16,16,64,1,128,0,BNHD,BNHD,1.223541,12.77031174,6.856008912,0.5,-0.804022461,0
128,2048,16,16,64,1,128,1,BHND,BHND,1.274791,12.25691113,6.580379058,0.5,-0.8040228843,0
128,2048,16,16,64,1,128,1,HBND,HBND,1.429584,10.92975299,5.867866456,0.5,-0.8040228843,0
128,2048,16,16,64,1,128,1,BNHD,BNHD,1.197416,13.04893203,7.005592042,0.5,-0.8040228843,0
128,2048,16,16,64,1,128,2,BHND,BHND,1.253416,12.4659331,6.692596871,0.5,-0.8040226939,0
128,2048,16,16,64,1,128,2,HBND,HBND,1.431167,10.9176637,5.861376066,0.5,-0.8040226939,0
128,2048,16,16,64,1,128,2,BNHD,BNHD,1.193,13.09723386,7.031523889,0.5,-0.8040226939,0
128,2048,16,16,64,1,128,3,BHND,BHND,1.412042,11.06553488,5.940763802,0.5,-0.8040226592,0
128,2048,16,16,64,1,128,3,HBND,HBND,1.495125,10.45063122,5.610639913,0.5,-0.8040226592,0
128,2048,16,16,64,1,128,3,BNHD,BNHD,1.267708,12.32539354,6.617145273,0.5,-0.8040226592,0
128,2048,16,16,64,1,128,4,BHND,BHND,1.276166,12.24370497,6.573289055,0.5,-0.8040226559,0
128,2048,16,16,64,1,128,4,HBND,HBND,1.429458,10.9307164,5.868383681,0.5,-0.8040226559,0
128,2048,16,16,64,1,128,4,BNHD,BNHD,1.229,12.71358828,6.825555736,0.5,-0.8040226559,0
